epidemiological_week;date;order_for_place;state;city;city_ibge_code;place_type;last_available_confirmed;last_available_confirmed_per_100k_inhabitants;new_confirmed;last_available_deaths;new_deaths;last_available_death_rate;estimated_population;is_last;is_repeated
202111;2021-03-20;378;MG;;31;state;1023969;4809,02204;9890;21764;224;0,0213;21292666;VERDADEIRO;FALSO
202111;2021-03-19;377;MG;;31;state;1014079;4762,57412;10975;21540;237;0,0212;21292666;FALSO;FALSO
202111;2021-03-18;376;MG;;31;state;1003104;4711,03055;11372;21303;274;0,0212;21292666;FALSO;FALSO
202111;2021-03-17;375;MG;;31;state;991732;4657,62249;11045;21029;314;0,0212;21292666;FALSO;FALSO
202111;2021-03-16;374;MG;;31;state;980687;4605,75017;6093;20715;28;0,0211;21292666;FALSO;FALSO
202111;2021-03-15;373;MG;;31;state;974594;4577,13468;3215;20687;37;0,0212;21292666;FALSO;FALSO
202111;2021-03-14;372;MG;;31;state;971379;4562,03559;7490;20650;144;0,0213;21292666;FALSO;FALSO
202110;2021-03-13;371;MG;;31;state;963889;4526,85915;7421;20506;206;0,0213;21292666;FALSO;FALSO
202110;2021-03-12;370;MG;;31;state;956468;4492,00678;9912;20300;213;0,0212;21292666;FALSO;FALSO
202110;2021-03-11;369;MG;;31;state;946556;4445,45554;7745;20087;263;0,0212;21292666;FALSO;FALSO
202110;2021-03-10;368;MG;;31;state;938811;4409,08151;10409;19824;219;0,0211;21292666;FALSO;FALSO
202110;2021-03-09;367;MG;;31;state;928402;4360,19614;3830;19605;57;0,0211;21292666;FALSO;FALSO
202110;2021-03-08;366;MG;;31;state;924572;4342,20872;1999;19548;25;0,0211;21292666;FALSO;FALSO
202110;2021-03-07;365;MG;;31;state;922573;4332,82051;6368;19523;164;0,0212;21292666;FALSO;FALSO
202109;2021-03-06;364;MG;;31;state;916205;4302,9135;7336;19359;155;0,0211;21292666;FALSO;FALSO
202109;2021-03-05;363;MG;;31;state;908869;4268,46032;7334;19204;172;0,0211;21292666;FALSO;FALSO
202109;2021-03-04;362;MG;;31;state;901535;4234,01654;7890;19032;160;0,0211;21292666;FALSO;FALSO
202109;2021-03-03;361;MG;;31;state;893645;4196,96153;6565;18872;227;0,0211;21292666;FALSO;FALSO
202109;2021-03-02;360;MG;;31;state;887080;4166,12931;3975;18645;47;0,021;21292666;FALSO;FALSO
202109;2021-03-01;359;MG;;31;state;883105;4147,46091;4400;18598;33;0,0211;21292666;FALSO;FALSO
202109;2021-02-28;358;MG;;31;state;878705;4126,79652;3821;18565;134;0,0211;21292666;FALSO;FALSO
202108;2021-02-27;357;MG;;31;state;874884;4108,85138;5654;18431;155;0,0211;21292666;FALSO;FALSO
202108;2021-02-26;356;MG;;31;state;869230;4082,29763;6728;18276;141;0,021;21292666;FALSO;FALSO
202108;2021-02-25;355;MG;;31;state;862502;4050,6999;9043;18135;161;0,021;21292666;FALSO;FALSO
