Te,d_nnC
2020-03-11,-0.008721983696841237
2020-03-12,-0.011405670988177003
2020-03-13,-0.01476028010234671
2020-03-14,-0.023482263799187948
2020-03-15,-0.035558856610198884
2020-03-16,-0.05367374582671531
2020-03-17,-0.07715600962590326
2020-03-18,-0.11137302259043426
2020-03-19,-0.16370492477148169
2020-03-20,-0.24555738715722253
2020-03-21,-0.32338431860595973
2020-03-22,-0.399869406409029
2020-03-23,-0.4830637124404377
2020-03-24,-0.43217378252893435
2020-03-25,-0.34256314950473987
2020-03-26,-0.21356089154502034
2020-03-27,-0.036445024952934446
2020-03-28,0.1706695610550012
2020-03-29,0.39168074273077225
2020-03-30,0.6265885200743782
2020-03-31,0.7533852499539184
2020-04-01,0.8687763088452816
2020-04-02,0.9559886511776197
2020-04-03,1.045213758978459
2020-04-04,1.1210204303226194
2020-04-05,1.1860923525014373
2020-04-06,1.527576571051764
2020-04-07,2.1246745094657484
2020-04-08,2.7014149769879157
2020-04-09,3.278596550126118
2020-04-10,3.8602447598173604
2020-04-11,4.410800749451445
2020-04-12,4.977899968449579
2020-04-13,5.383407156768609
2020-04-14,6.079894158949817
2020-04-15,6.781307430097661
2020-04-16,7.4762412992239655
2020-04-17,8.161341157214558
2020-04-18,8.87283678250247
2020-04-19,9.835479491101001
2020-04-20,10.513851604065692
2020-04-21,10.589272750186499
2020-04-22,10.660668365370302
2020-04-23,10.73877319878244
2020-04-24,10.81486526672608
2020-04-25,10.881632737608783
2020-04-26,10.649915800425191
2020-04-27,10.584362892527603
2020-04-28,10.526258433139917
2020-04-29,10.456145689399966
2020-04-30,10.372682817662069
2020-05-01,10.166509560804295
2020-05-02,9.93940516477604
2020-05-03,9.69002778593164
2020-05-04,9.38348948948372
2020-05-05,8.837656685060903
2020-05-06,8.33881273376553
2020-05-07,7.935934928664473
2020-05-08,7.739725370525331
2020-05-09,7.562173115017753
2020-05-10,7.312703716059167
2020-05-11,7.129812465752828
2020-05-12,7.354541297857896
2020-05-13,7.43742022874553
2020-05-14,7.428768395128266
2020-05-15,7.876043015166459
2020-05-16,8.743970628849379
2020-05-17,9.985015915379698
2020-05-18,11.924661098183595
2020-05-19,13.533356554354764
2020-05-20,15.09844209204173
2020-05-21,17.06673665597975
2020-05-22,22.54691664094891
2020-05-23,33.171575270687256
2020-05-24,52.498991700625346
2020-05-25,70.8966256020116
2020-05-26,89.34783312060071
2020-05-27,108.06653818925278
2020-05-28,126.21879997145741
2020-05-29,140.32072649476692
2020-05-30,149.13469723184463
2020-05-31,148.7346677397231
2020-06-01,148.02438696885287
2020-06-02,146.99762386021666
2020-06-03,145.41428852986382
2020-06-04,143.68766882066012
2020-06-05,142.01654286013988
2020-06-06,140.3789629907614
2020-06-07,138.82571901381226
2020-06-08,137.4763351423807
2020-06-09,135.62126897914402
2020-06-10,134.93386970032975
2020-06-11,134.66300525023536
2020-06-12,134.69864444991606
2020-06-13,135.4436182950358
2020-06-14,137.76157345028508
2020-06-15,139.82112357511954
2020-06-16,142.83298217388267
2020-06-17,144.96450620173587
2020-06-18,147.46129709781025
2020-06-19,150.55172369992448
2020-06-20,153.10781113446342
2020-06-21,154.43988174609817
2020-06-22,156.1655832104885
2020-06-23,154.5527776844573
2020-06-24,152.2362752948971
2020-06-25,148.80211727711946
2020-06-26,145.6234803452177
2020-06-27,142.7193355782067
2020-06-28,139.73724876185094
2020-06-29,136.07320498762428
2020-06-30,135.35142381385177
2020-07-01,134.80540916838953
2020-07-02,134.42308445842673
2020-07-03,135.1107499487159
2020-07-04,135.70851191474526
2020-07-05,136.39050964458016
2020-07-06,137.2697583903281
2020-07-07,138.5222099482752
2020-07-08,138.79493037690918
2020-07-09,139.03190668095732
2020-07-10,138.3008729018244
2020-07-11,139.78821724784297
2020-07-12,140.66532312095427
2020-07-13,141.94219827185077
2020-07-14,141.9795402585661
2020-07-15,143.0126003804465
2020-07-16,144.91927086573634
2020-07-17,147.4601327523077
2020-07-18,147.9776545069243
2020-07-19,149.3849888773222
2020-07-20,150.68690178342308
2020-07-21,152.59339879248859
2020-07-22,155.14783440494801
2020-07-23,158.53740919988343
2020-07-24,162.03717206195535
2020-07-25,165.54990947693238
2020-07-26,169.50065871359618
2020-07-27,172.15438915707455
2020-07-28,174.01227940902436
2020-07-29,174.9730202741979
2020-07-30,175.45332435465446
2020-07-31,178.86148470338162
2020-08-01,183.71338207673534
2020-08-02,187.92310713701306
2020-08-03,194.2277906855851
2020-08-04,201.51504434019307
2020-08-05,209.97473897669863
2020-08-06,220.15270457301756
2020-08-07,229.12706639771648
2020-08-08,239.81271955667285
2020-08-09,251.10649829444367
2020-08-10,262.31389839577287
2020-08-11,274.9411393529218
2020-08-12,288.5400453882379
2020-08-13,302.80756009504796
2020-08-14,318.9429613281628
2020-08-15,334.3740949045499
2020-08-16,353.07474084522164
2020-08-17,370.96143170514813
2020-08-18,387.64905835802324
2020-08-19,403.3053512595552
2020-08-20,425.05487641342313
2020-08-21,445.59150501877514
2020-08-22,463.9547774111852
2020-08-23,479.2117716995069
2020-08-24,494.3236899859048
2020-08-25,509.35963721813096
2020-08-26,524.149199253185
2020-08-27,531.8222179666507
2020-08-28,537.7622905795522
2020-08-29,548.6655226663544
2020-08-30,559.0539799417033
2020-08-31,570.8056994973591
2020-09-01,583.5630800017502
2020-09-02,596.4794181144614
2020-09-03,609.6325766413602
2020-09-04,624.584431607461
2020-09-05,635.5690754706181
2020-09-06,647.3889243692158
2020-09-07,656.6457758586328
2020-09-08,663.6677107102344
2020-09-09,668.732490558674
2020-09-10,675.5871597232665
2020-09-11,682.241123134208
2020-09-12,688.0240447511349
2020-09-13,692.8158295677606
2020-09-14,699.2865445829564
2020-09-15,707.3154238686111
2020-09-16,717.4291410556505
2020-09-17,724.5183324723632
2020-09-18,733.0707744061324
2020-09-19,745.5201958979676
2020-09-20,767.724736154885
2020-09-21,793.6749430130512
2020-09-22,821.886066478535
2020-09-23,853.261838246694
2020-09-24,884.7149512924541
2020-09-25,912.0340491194404
2020-09-26,934.7100171820177
2020-09-27,949.7600269914999
2020-09-28,964.5434805800694
2020-09-29,980.3713591895432
2020-09-30,996.1185269230298
2020-10-01,1010.5159450454137
2020-10-02,1023.3314746059966
2020-10-03,1037.2407770165014
2020-10-04,1048.2381683942924
2020-10-05,1055.2732020100918
2020-10-06,1057.6729432755967
2020-10-07,1055.4165936142997
2020-10-08,1053.7238959288984
2020-10-09,1052.836382075614
2020-10-10,1051.4395759033546
2020-10-11,1051.1287993996516
2020-10-12,1050.5355648085363
2020-10-13,1049.9544068102316
2020-10-14,1049.6986458960014
2020-10-15,1048.7183118970186
2020-10-16,1047.2115120189953
2020-10-17,1044.5972279633568
2020-10-18,1040.1452634331274
2020-10-19,1035.256894615484
2020-10-20,1030.75668443069
2020-10-21,1026.473547813921
2020-10-22,1021.7797589558211
2020-10-23,1017.1822974436104
2020-10-24,1012.923736591282
2020-10-25,1009.0785116675763
2020-10-26,1005.5078853528464
2020-10-27,1000.5627318065658
2020-10-28,996.2719186209854
2020-10-29,992.7234934430874
2020-10-30,988.47838100576
2020-10-31,983.9696262706036
2020-11-01,980.3470591347866
2020-11-02,976.5833413993587
2020-11-03,974.2007946803312
2020-11-04,970.6640054092136
2020-11-05,966.4134554472241
2020-11-06,962.7924004337563
2020-11-07,958.5419206218462
2020-11-08,953.4783836892859
2020-11-09,948.5754540891983
2020-11-10,942.9676426701274
2020-11-11,937.4902471015018
2020-11-12,932.4706906233766
2020-11-13,928.0534216849082
2020-11-14,923.3255159424682
2020-11-15,919.5590111936053
2020-11-16,916.9463185037916
2020-11-17,915.4763325879121
2020-11-18,913.8474950882123
2020-11-19,911.8781296883847
2020-11-20,909.7322117205276
2020-11-21,908.1805302304535
2020-11-22,907.4789468614458
2020-11-23,905.9684320313484
2020-11-24,904.5577844242282
2020-11-25,903.7243850028012
2020-11-26,903.4608536270155
2020-11-27,903.6492231739478
2020-11-28,904.1532665350192
2020-11-29,903.1082815143352
2020-11-30,901.8019073900728
2020-12-01,899.1489080280321
2020-12-02,894.8778454865626
2020-12-03,889.8685836720013
2020-12-04,883.7873188917183
2020-12-05,878.1797249183564
2020-12-06,872.7017189854255
2020-12-07,867.9338187483809
2020-12-08,865.7843213323272
2020-12-09,864.9966651094587
2020-12-10,865.0371818340218
2020-12-11,867.7441523327661
2020-12-12,869.9810770410327
2020-12-13,874.0857881469778
2020-12-14,878.1544397531948
2020-12-15,878.8260336987091
2020-12-16,878.4200570466719
2020-12-17,877.0961891909187
2020-12-18,873.98645754995
2020-12-19,869.5210231408255
2020-12-20,863.6822117603597
2020-12-21,858.4051322243099
2020-12-22,856.8975019391796
2020-12-23,856.887769677111
2020-12-24,857.7908916085912
2020-12-25,861.153653114116
2020-12-26,865.3534948187453
2020-12-27,867.9650241399436
2020-12-28,868.3012171311298
2020-12-29,870.1963020741655
2020-12-30,875.7678335528026
2020-12-31,885.1177916841111
2021-01-01,891.9687261110762
2021-01-02,899.8537213457312
2021-01-03,904.8718274598818
2021-01-04,909.9360269225608
2021-01-05,909.8385142233151
2021-01-06,903.9018285997863
2021-01-07,894.5336080882539
2021-01-08,887.9701213964859
2021-01-09,878.7775924669036
2021-01-10,872.3760083846773
2021-01-11,866.5276044418724
2021-01-12,860.2582321302802
2021-01-13,852.6957530373029
2021-01-14,841.4130723938015
2021-01-15,830.426168145545
2021-01-16,822.5813310937788
2021-01-17,813.3550258372625
2021-01-18,803.4280077903795
2021-01-19,792.727046345819
2021-01-20,781.9357808625023
2021-01-21,773.5252164139283
2021-01-22,763.9050098973285
2021-01-23,751.3468265255478
2021-01-24,739.8167358151327
2021-01-25,727.2610358733959
2021-01-26,716.735460228203
2021-01-27,707.479824475739
2021-01-28,699.2089718520265
2021-01-29,689.8798350849229
2021-01-30,682.2870140167679
2021-01-31,675.5736011796453
2021-02-01,671.3495889055553
2021-02-02,668.7943144942838
2021-02-03,668.716268720892
2021-02-04,666.6350506417652
2021-02-05,666.3143715972892
2021-02-06,668.4654087196686
2021-02-07,672.3298437477038
2021-02-08,677.5923332316693
2021-02-09,684.0796192555626
2021-02-10,692.4612518200265
2021-02-11,705.8026727335923
2021-02-12,719.6685779112127
2021-02-13,734.2367616359438
2021-02-14,749.6818401831174
2021-02-15,765.7689909147434
2021-02-16,782.2352124762706
2021-02-17,795.848674447107
2021-02-18,808.1011427479812
2021-02-19,834.6206206418228
2021-02-20,858.0432448420524
2021-02-21,879.576674629775
2021-02-22,904.921708151774
2021-02-23,935.2571550507687
2021-02-24,969.0729201962813
2021-02-25,1004.6524788569363
2021-02-26,1023.5957089050216
2021-02-27,1048.8125790257063
2021-02-28,1078.7733874629275
2021-03-01,1109.8121670121955
2021-03-02,1133.5193077420718
2021-03-03,1154.499867151767
2021-03-04,1174.2281860541834
2021-03-05,1197.241578629978
2021-03-06,1215.101385052083
2021-03-07,1224.2181034182577
2021-03-08,1227.6485386926834
2021-03-09,1227.1424501930333
2021-03-10,1222.2416582713986
2021-03-11,1210.1957288078465
2021-03-12,1190.9415951510327
2021-03-13,1166.516386405321
2021-03-14,1138.9248871274158
2021-03-15,1103.1163876420342
2021-03-16,1064.463910506748
2021-03-17,1024.154927390885
