Te,nnCc
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0.152199125159429
2020-03-25,0.342448031608714
2020-03-26,0.570746719347857
2020-03-27,0.837095188376857
2020-03-28,1.14149343869571
2020-03-29,1.48394147030443
2020-03-30,1.864439283203
2020-03-31,2.130787752232
2020-04-01,2.397136221261
2020-04-02,2.66348469029
2020-04-03,2.929833159319
2020-04-04,3.196181628348
2020-04-05,3.462530097377
2020-04-06,3.995227035435
2020-04-07,4.794272442522
2020-04-08,5.58570789335103
2020-04-09,6.36953338792209
2020-04-10,7.14574892623517
2020-04-11,7.91435450829029
2020-04-12,8.67535013408743
2020-04-13,9.28414663472514
2020-04-14,10.1973413856817
2020-04-15,11.1181460928963
2020-04-16,12.0465607563688
2020-04-17,12.9825853760993
2020-04-18,13.9262199520877
2020-04-19,15.1438129533631
2020-04-20,16.0570077043197
2020-04-21,16.3994557359284
2020-04-22,16.7419037675371
2020-04-23,17.0843517991459
2020-04-24,17.4267998307546
2020-04-25,17.7746835454047
2020-04-26,17.8616544740672
2020-04-27,18.1443099922204
2020-04-28,18.4324011934151
2020-04-29,18.7259280776511
2020-04-30,19.0248906449286
2020-05-01,19.3292888952474
2020-05-02,19.6409347229548
2020-05-03,19.9598281280508
2020-05-04,20.2859691105353
2020-05-05,20.4164255035291
2020-05-06,20.655595557351
2020-05-07,21.0034792720011
2020-05-08,21.4600766474794
2020-05-09,21.9420405438176
2020-05-10,22.4493709610157
2020-05-11,23.0581674616534
2020-05-12,24.1235613377694
2020-05-13,25.1128556513057
2020-05-14,26.0260504022623
2020-05-15,27.3958425286971
2020-05-16,29.29833159319
2020-05-17,31.5813184705814
2020-05-18,34.62530097377
2020-05-19,37.4409847892194
2020-05-20,40.2566686046689
2020-05-21,43.6050493581763
2020-05-22,50.60620911551
2020-05-23,62.9343382534237
2020-05-24,84.0900166505843
2020-05-25,104.560798984527
2020-05-26,125.18378044363
2020-05-27,146.111160153051
2020-05-28,166.810241174734
2020-05-29,183.399945817111
2020-05-30,194.51048195375
2020-05-31,196.793468831141
2020-06-01,199.000356145953
2020-06-02,201.169193679475
2020-06-03,203.147782306547
2020-06-04,204.936122027171
2020-06-05,206.762511529084
2020-06-06,208.588901030997
2020-06-07,210.719688783229
2020-06-08,213.00267566062
2020-06-09,215.247612756722
2020-06-10,218.36769482249
2020-06-11,221.906324482447
2020-06-12,225.863501736592
2020-06-13,230.581674616534
2020-06-14,236.821838748071
2020-06-15,243.214202004767
2020-06-16,250.215361762101
2020-06-17,256.836023706536
2020-06-18,263.532785213551
2020-06-19,271.447139721841
2020-06-20,279.285394667551
2020-06-21,285.982156174566
2020-06-22,292.9833159319
2020-06-23,299.984475689234
2020-06-24,306.833436321408
2020-06-25,313.530197828423
2020-06-26,320.379158460597
2020-06-27,327.60861690567
2020-06-28,335.52297141396
2020-06-29,343.893923297729
2020-06-30,352.873671682135
2020-07-01,362.386117004599
2020-07-02,372.431259265122
2020-07-03,383.693994526919
2020-07-04,394.956729788717
2020-07-05,406.676062425993
2020-07-06,418.395395063269
2020-07-07,430.875723326342
2020-07-08,443.127752901676
2020-07-09,455.151483789271
2020-07-10,465.957621675591
2020-07-11,479.35114468962
2020-07-12,492.288070328172
2020-07-13,505.377195091883
2020-07-14,516.944328603999
2020-07-15,529.424656867072
2020-07-16,542.818179881102
2020-07-17,556.972698520929
2020-07-18,568.844230283364
2020-07-19,581.476757671597
2020-07-20,594.921013727346
2020-07-21,609.93799407641
2020-07-22,625.386205280092
2020-07-23,641.92517688075
2020-07-24,658.565614564847
2020-07-25,676.220713083341
2020-07-26,694.028010726994
2020-07-27,710.668448411092
2020-07-28,726.142026135634
2020-07-29,740.44874390062
2020-07-30,754.501796457007
2020-07-31,771.345166307984
2020-08-01,789.000264826478
2020-08-02,806.807562470131
2020-08-03,826.136851365378
2020-08-04,846.98813151222
2020-08-05,869.361402910656
2020-08-06,893.713262936165
2020-08-07,916.999729085557
2020-08-08,941.655987361385
2020-08-09,966.92104213785
2020-08-10,992.947092540112
2020-08-11,1019.73413856817
2020-08-12,1047.28218022203
2020-08-13,1075.28681925136
2020-08-14,1105.27004690777
2020-08-15,1134.94887631386
2020-08-16,1167.51948909798
2020-08-17,1198.92324192254
2020-08-18,1229.16013478755
2020-08-19,1258.230167693
2020-08-20,1293.54036472998
2020-08-21,1327.6329687657
2020-08-22,1360.05138242465
2020-08-23,1389.27361445526
2020-08-24,1418.39438040243
2020-08-25,1447.41368026617
2020-08-26,1476.33151404646
2020-08-27,1497.71549113136
2020-08-28,1517.50137740208
2020-08-29,1541.85323742759
2020-08-30,1565.71045029633
2020-08-31,1590.23987596786
2020-09-01,1615.44151444218
2020-09-02,1641.31536571928
2020-09-03,1667.72191393444
2020-09-04,1695.72655296377
2020-09-05,1718.70862086285
2020-09-06,1741.57653941805
2020-09-07,1762.60538521091
2020-09-08,1781.79515824143
2020-09-09,1799.14585850961
2020-09-10,1817.71415177906
2020-09-11,1836.43464417367
2020-09-12,1854.92683788054
2020-09-13,1873.19073289967
2020-09-14,1892.72295396179
2020-09-15,1913.52350106692
2020-09-16,1935.59237421503
2020-09-17,1954.61726485996
2020-09-18,1974.70754938101
2020-09-19,1998.98330984393
2020-09-20,2033.07591387965
2020-09-21,2070.36469954371
2020-09-22,2110.84966683611
2020-09-23,2154.53081575687
2020-09-24,2198.44026336537
2020-09-25,2238.4686332823
2020-09-26,2273.93102944444
2020-09-27,2301.63127022346
2020-09-28,2329.63590925279
2020-09-29,2357.94494653245
2020-09-30,2386.55838206242
2020-10-01,2413.42152765306
2020-10-02,2438.53438330437
2020-10-03,2464.40823458147
2020-10-04,2487.39030248054
2020-10-05,2505.45126533279
2020-10-06,2518.59112313822
2020-10-07,2526.80987589683
2020-10-08,2535.67547493737
2020-10-09,2545.18792025983
2020-10-10,2553.52082236231
2020-10-11,2561.89177424608
2020-10-12,2570.26272612985
2020-10-13,2578.63367801362
2020-10-14,2587.00462989739
2020-10-15,2594.57653637407
2020-10-16,2601.5776961314
2020-10-17,2608.00810916939
2020-10-18,2613.30463872494
2020-10-19,2618.31706324685
2020-10-20,2623.04538273514
2020-10-21,2627.4895971898
2020-10-22,2631.5989735691
2020-10-23,2635.63225038582
2020-10-24,2640.04602501545
2020-10-25,2644.79463772042
2020-10-26,2649.32002504183
2020-10-27,2653.62218697967
2020-10-28,2657.70112353394
2020-10-29,2661.65830078809
2020-10-30,2665.00668154159
2020-10-31,2667.28966841899
2020-11-01,2669.72485442154
2020-11-02,2672.21077346581
2020-11-03,2674.7474255518
