Te,nnCe
2020-03-08,0.00469645275983759
2020-03-09,0.00563574331180511
2020-03-10,0.00704467913975638
2020-03-11,0.00872198369684124
2020-03-12,0.011405670988177
2020-03-13,0.0147602801023467
2020-03-14,0.0234822637991879
2020-03-15,0.0355588566101989
2020-03-16,0.0536737458267153
2020-03-17,0.0771560096259033
2020-03-18,0.111373022590434
2020-03-19,0.163704924771482
2020-03-20,0.245557387157223
2020-03-21,0.32338431860596
2020-03-22,0.399869406409029
2020-03-23,0.483063712440438
2020-03-24,0.584372907688363
2020-03-25,0.685011181113454
2020-03-26,0.784307610892877
2020-03-27,0.873540213329792
2020-03-28,0.970823877640713
2020-03-29,1.09226072757366
2020-03-30,1.23785076312862
2020-03-31,1.37740250227808
2020-04-01,1.52835991241572
2020-04-02,1.70749603911238
2020-04-03,1.88461940034054
2020-04-04,2.07516119802538
2020-04-05,2.27643774487556
2020-04-06,2.46765046438324
2020-04-07,2.66959793305625
2020-04-08,2.88429291636311
2020-04-09,3.09093683779597
2020-04-10,3.28550416641781
2020-04-11,3.50355375883884
2020-04-12,3.69745016563785
2020-04-13,3.90073947795653
2020-04-14,4.1174472267319
2020-04-15,4.3368386627986
2020-04-16,4.57031945714481
2020-04-17,4.8212442188847
2020-04-18,5.05338316958525
2020-04-19,5.30833346226214
2020-04-20,5.54315610025402
2020-04-21,5.81018298574193
2020-04-22,6.08123540216684
2020-04-23,6.34557860036342
2020-04-24,6.61193456402849
2020-04-25,6.89305080779591
2020-04-26,7.21173867364204
2020-04-27,7.55994709969285
2020-04-28,7.90614276027516
2020-04-29,8.26978238825116
2020-04-30,8.65220782726651
2020-05-01,9.16277933444313
2020-05-02,9.70152955817879
2020-05-03,10.2698003421191
2020-05-04,10.9024796210515
2020-05-05,11.5787688184682
2020-05-06,12.3167828235855
2020-05-07,13.0675443433367
2020-05-08,13.7203512769541
2020-05-09,14.3798674287999
2020-05-10,15.1366672449566
2020-05-11,15.9283549959006
2020-05-12,16.7690200399115
2020-05-13,17.6754354225602
2020-05-14,18.597282007134
2020-05-15,19.5197995135307
2020-05-16,20.5543609643406
2020-05-17,21.5963025552017
2020-05-18,22.7006398755864
2020-05-19,23.9076282348647
2020-05-20,25.1582265126271
2020-05-21,26.5383127021965
2020-05-22,28.0592924745611
